ObservedDist,U,V,V>0.95,Sex
18.0,-1.4299999999999997,0.43000000000000005,0,Male
18.0,-1.4299999999999997,0.43000000000000005,0,Male
21.0,-4.43,0.094,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Female
19.0,-2.4299999999999997,0.33133333333333337,0,Male
14.0,2.5700000000000003,0.7326666666666668,0,Male
13.0,3.5700000000000003,0.7893333333333334,0,Female
15.0,1.5700000000000003,0.6826666666666668,0,Male
15.0,1.5700000000000003,0.6826666666666668,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Female
8.0,8.57,0.9100000000000001,0,Female
21.0,-4.43,0.094,0,Male
15.0,1.5700000000000003,0.6826666666666668,0,Male
16.0,0.5700000000000003,0.6133333333333334,0,Male
14.0,2.5700000000000003,0.7326666666666668,0,Female
15.0,1.5700000000000003,0.6826666666666668,0,Female
20.0,-3.4299999999999997,0.18533333333333335,0,Male
22.0,-5.43,0.017333333333333333,0,Female
21.0,-4.43,0.094,0,Female
14.0,2.5700000000000003,0.7326666666666668,0,Male
18.0,-1.4299999999999997,0.43000000000000005,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Female
21.0,-4.43,0.094,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Male
9.0,7.57,0.8913333333333335,0,Male
3.0,13.57,0.9893333333333336,1,Male
19.0,-2.4299999999999997,0.33133333333333337,0,Female
14.0,2.5700000000000003,0.7326666666666668,0,Female
20.0,-3.4299999999999997,0.18533333333333335,0,Male
16.0,0.5700000000000003,0.6133333333333334,0,Female
20.0,-3.4299999999999997,0.18533333333333335,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Male
18.0,-1.4299999999999997,0.43000000000000005,0,Female
21.0,-4.43,0.094,0,Male
14.0,2.5700000000000003,0.7326666666666668,0,Male
16.0,0.5700000000000003,0.6133333333333334,0,Male
19.0,-2.4299999999999997,0.33133333333333337,0,Male
15.0,1.5700000000000003,0.6826666666666668,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Male
9.0,7.57,0.8913333333333335,0,Female
15.0,1.5700000000000003,0.6826666666666668,0,Male
21.0,-4.43,0.094,0,Male
19.0,-2.4299999999999997,0.33133333333333337,0,Male
18.0,-1.4299999999999997,0.43000000000000005,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Female
10.0,6.57,0.8753333333333335,0,Male
17.0,-0.4299999999999997,0.5453333333333334,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Male
17.0,-0.4299999999999997,0.5453333333333334,0,Male
20.0,-3.4299999999999997,0.18533333333333335,0,Female
17.0,-0.4299999999999997,0.5453333333333334,0,Female
18.0,-1.4299999999999997,0.43000000000000005,0,Male
22.0,-5.43,0.017333333333333333,0,Male
22.0,-5.43,0.017333333333333333,0,Male
18.0,-1.4299999999999997,0.43000000000000005,0,Female
7.0,9.57,0.9300000000000002,0,Male
22.0,-5.43,0.017333333333333333,0,
