"LH22_1A_19","LH22_1B_19","LH22_2A_19","LH22_2B_19","LH22_3A_19","LH22_3B_19","LH22_4A_19","LH22_4B_19","LH22_5A_19","LH22_5B_19","LH22_6A_19","LH22_6B_19","LH22_7A_19","LH22_7B_19","LH22_8A_19","LH22_8B_19","LH22_9A_19","LH22_9B_19","LH22_10A_19","LH22_10B_19"
0,1,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,7,9,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,7,8,9,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3,4,6,7,8,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,5,5,6,NA,7,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,76,NA,79,79,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,5,6,8,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,6,7,9,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,8,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,8,9,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,3,4,6,7,9,10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,2,3,3,4,4,4,4,4,5,6,7,9,10,12,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
