id,Family_Cluster,Happiness_Cluster,CombT,CombT_Merged
0,4,2,4+2,4+2
1,2,1,2+1,2+1
2,2,3,2+3,2+3
3,1,1,1+1,1+1
4,4,1,4+1,4+1
5,4,1,4+1,4+1
6,4,2,4+2,4+2
7,4,3,4+3,4+3
8,4,2,4+2,4+2
9,1,2,1+2,1+2
10,3,3,3+3,3+3
11,1,4,1+4,1+4
12,4,3,4+3,4+3
13,1,1,1+1,1+1
14,4,2,4+2,4+2
15,2,2,2+2,2+2
16,4,2,4+2,4+2
17,1,1,1+1,1+1
18,1,1,1+1,1+1
19,1,1,1+1,1+1
20,4,3,4+3,4+3
21,4,3,4+3,4+3
22,1,1,1+1,1+1
23,2,2,2+2,2+2
24,1,1,1+1,1+1
25,1,4,1+4,1+4
26,3,3,3+3,3+3
27,4,3,4+3,4+3
28,1,4,1+4,1+4
29,4,2,4+2,4+2
30,3,2,3+2,3+2
31,4,3,4+3,4+3
32,4,1,4+1,4+1
33,4,3,4+3,4+3
34,2,5,2+5,2+5
35,3,3,3+3,3+3
36,3,1,3+1,3+1
37,1,1,1+1,1+1
38,2,4,2+4,2+4
39,1,2,1+2,1+2
40,1,1,1+1,1+1
41,2,1,2+1,2+1
42,4,2,4+2,4+2
43,3,1,3+1,3+1
44,2,1,2+1,2+1
45,4,5,4+5,4+5
46,1,1,1+1,1+1
47,3,1,3+1,3+1
48,3,2,3+2,3+2
49,3,2,3+2,3+2
50,4,2,4+2,4+2
51,1,1,1+1,1+1
52,4,3,4+3,4+3
53,1,1,1+1,1+1
54,1,1,1+1,1+1
55,1,2,1+2,1+2
56,4,1,4+1,4+1
57,1,1,1+1,1+1
58,1,2,1+2,1+2
59,2,1,2+1,2+1
60,3,1,3+1,3+1
61,1,2,1+2,1+2
62,1,5,1+5,1+5
63,2,2,2+2,2+2
64,1,2,1+2,1+2
65,1,4,1+4,1+4
66,3,4,3+4,3+4
67,1,5,1+5,1+5
68,3,1,3+1,3+1
69,4,2,4+2,4+2
70,1,5,1+5,1+5
71,3,2,3+2,3+2
72,1,2,1+2,1+2
73,3,1,3+1,3+1
74,3,1,3+1,3+1
75,3,1,3+1,3+1
76,1,4,1+4,1+4
77,2,2,2+2,2+2
78,1,1,1+1,1+1
79,1,1,1+1,1+1
80,1,1,1+1,1+1
81,2,4,2+4,2+4
82,1,4,1+4,1+4
83,1,3,1+3,1+3
84,2,1,2+1,2+1
85,3,3,3+3,3+3
86,2,3,2+3,2+3
87,1,4,1+4,1+4
88,4,2,4+2,4+2
89,4,2,4+2,4+2
90,2,2,2+2,2+2
91,2,3,2+3,2+3
92,1,1,1+1,1+1
93,1,1,1+1,1+1
94,2,1,2+1,2+1
95,4,1,4+1,4+1
96,4,1,4+1,4+1
97,4,3,4+3,4+3
98,1,4,1+4,1+4
99,4,2,4+2,4+2
100,1,5,1+5,1+5
101,4,3,4+3,4+3
102,4,3,4+3,4+3
103,4,1,4+1,4+1
104,3,2,3+2,3+2
105,4,2,4+2,4+2
106,3,2,3+2,3+2
107,4,3,4+3,4+3
108,2,2,2+2,2+2
109,2,3,2+3,2+3
110,1,1,1+1,1+1
111,1,5,1+5,1+5
112,1,4,1+4,1+4
113,3,2,3+2,3+2
114,3,3,3+3,3+3
115,4,4,4+4,4+4
