,Avg dist,PBM,DB,XB,AMS,ARI>0.8,JC>0.8,Best iter
cluster4,0.44243893755177854,10.084202117611506,0.4978897023737401,0.20046547996595634,0.82559307627168,63.0,58.0,16.0
cluster5,0.3316682412818723,11.484720263396387,0.5273431819568932,0.15027617945641158,0.8328796861825629,98.0,67.0,0.0
cluster6,0.2833499261271838,10.927466847417811,0.4794166025425087,0.23474425462246376,0.8434987944804968,127.0,87.0,23.0
cluster7,0.30409449010416667,6.80402517069087,0.9689294198554542,0.30409449010416667,0.8521303576213418,153.0,125.0,212.0
cluster8,0.26990458903020015,6.774350991855389,1.0746863822655766,0.26990458903020015,0.8588371127743375,183.0,157.0,84.0
cluster9,0.2521267411734811,6.59434358119101,0.8304625764430473,0.20887707555142926,0.8324046040353603,200.0,158.0,25.0
cluster10,0.2264536871754163,6.468765470108247,0.7201006688556609,0.2264536871754163,0.881371443599767,212.0,180.0,40.0
cluster11,0.2084216387140843,6.927111846887478,0.9122027470644473,0.17266911940245025,0.8499890648950335,223.0,188.0,120.0
cluster12,0.20103550111087454,5.834268409518176,0.9892696858327207,0.20103550111087454,0.8849345389139631,235.0,212.0,84.0
cluster13,0.17616068801357826,6.942541467041969,0.8794468807627053,0.17616068801357826,0.9004468470654409,237.0,210.0,120.0
cluster14,0.1633035194956213,6.96588053325164,0.8534096422155178,0.1633035194956213,0.8821777164369597,240.0,220.0,2.0
cluster15,0.156103492119125,6.640723951430754,0.9448220586382973,0.156103492119125,0.88483923997431,243.0,227.0,2.0
cluster16,0.1476758004460796,6.521756057961485,0.9122155981606739,0.1476758004460796,0.8865328303394417,246.0,232.0,2.0
cluster17,0.14544679674778394,5.955483392782402,0.9190262821656396,0.14544679674778394,0.8860075074654397,248.0,238.0,2.0
cluster18,0.1411004280923385,5.644448432369246,0.9332570674865257,0.1411004280923385,0.8885636685893219,248.0,240.0,2.0
cluster19,0.13929502174260971,5.198101911385633,0.9261192948299434,0.13929502174260971,0.8891503554254258,250.0,245.0,2.0
cluster20,0.13729032570747135,4.503545438757284,0.963270254931718,0.13729032570747135,0.8958018432168484,249.0,247.0,224.0
