"dyadID","sex","status15","status16","status17","status18","status19","status20","status21","status22","status23","status24","status25","status26","status27","status28","status29","status30","status31","status32","status33","status34","status35","status36","status37","status38","status39"
16,1,1,1,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
19,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4
26,1,1,1,1,1,2,3,3,3,3,4,4,4,4,6,6,6,6,4,4,4,4,4,4,4,4
29,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,4,4,4
31,0,1,1,1,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
43,1,1,1,1,1,1,2,6,6,6,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
54,1,1,1,1,1,1,2,2,6,6,3,3,4,4,5,5,6,6,6,6,6,6,6,5,5,5
75,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,5,5,5,5
82,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
94,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,3,3,3,3,3,3
101,0,1,1,1,1,1,1,2,2,3,3,4,4,5,5,5,5,5,6,6,6,6,6,6,6,5
109,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
115,0,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
124,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4
126,1,1,1,1,1,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
129,1,1,1,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5
131,1,1,1,1,1,1,1,1,1,2,3,6,6,3,3,4,4,5,5,5,5,5,5,5,6,6
132,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
152,1,1,1,1,2,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
154,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4
158,0,1,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
184,1,1,1,1,2,2,3,3,6,3,4,4,4,4,4,4,6,6,6,6,4,4,4,4,4,4
189,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
204,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6
218,1,1,1,1,1,2,2,2,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6
221,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,0,1,1,1,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
249,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3
252,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,6,6,6,6,6,6,4,4
261,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,4,4,4,4,4
266,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3
275,1,1,1,1,1,1,1,1,1,2,3,3,3,6,6,6,6,6,6,3,4,4,4,6,6,6
277,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
282,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,1,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,2,2,2,2,2,2
300,1,1,1,1,1,2,2,3,3,4,4,4,4,4,6,6,6,6,6,4,5,5,5,5,5,5
305,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4
311,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5,5
315,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
323,1,1,1,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
341,0,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
344,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6
353,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4
368,1,1,1,1,1,1,2,2,3,3,3,3,6,6,6,6,6,6,6,6,6,3,3,3,3,3
379,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
382,0,1,1,1,1,1,1,1,1,1,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5
387,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
