"15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39"
"S","S","S","S","S","M0","M1","M1","M1","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M0","M1","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","S","M0","M0","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1"
"S","S","S","S","M0","M1","M1","M1","M1","D","D","D","D","D","D","D","D","D","M1","M1","M1","M1","M1","M1","M1"
"S","S","S","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","S","S","M0","M0","M1","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","S","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","S","M0","M1","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","D"
"S","S","S","S","S","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","M0","M0","M0","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","M0","M0","M0","M0","M1","M2","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","D","M3+"
"S","S","S","S","M0","M0","M0","M0","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","M1","M1","M1","M1","M2","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","M0","M1","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","S","S","S","S","M0","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M0","M0","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","M0","M0","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","M0","M0","M0","M0","M1","M1","M1","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M0","M0","M0","M0","M0","M0","M1","M1","M1","M2","M2","M2","M2","M2","M2","M3+","M3+"
"S","S","S","S","S","S","S","S","S","S","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","M0","M1","M1","M2","M3+","M3+","D","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M0","M0","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","M0","M1","M1","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M0","M1","M1","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","M0","M0","M0","M0","M0","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","M0","M1","D","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M2","M2","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M0","M1","M1","M1","M1","M1","M1","M2","M2","M2","M2","M3+","M3+","D","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","S","S","S","S","S","M0","M1","M1","M2","M2","M2","M2","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","M0","M0","M1","M1","M1","M1","M1","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","M0","M1","M1","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M1","M1","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","D","D","D","D","D","M3+"
"S","S","S","S","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","S","M0","M0","M0","M1","M1","M2","D","D","D","D","D","D","D","D","D","D"
"S","S","S","S","S","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","D","D","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","M0","M1","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M0","M1","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M3+"
"S","S","S","S","S","S","S","S","M0","M0","M0","D","D","D","D","D","M0","M1","M1","M1","M1","M2","M2","M2","M3+"
"S","S","S","S","S","S","S","M0","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","M0","M0","M0","M0","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","M0","M0","M1","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","M0","M1","M1","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M0","M1","M1","M2","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","M0","M0","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","M1","M1","D","D","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","S","M0","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","M0","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","S","S","M0","M0","M0","M0","M0","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","M0","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1","M1"
"S","S","S","S","S","S","S","S","M0","M1","M1","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","S","S","M0","M1","M2","M2","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","S","S","M0","M0","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","M0","M0","M0","M0","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","M0","M0","M0","M1","M1","M1","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
"S","S","S","S","S","S","S","S","S","M0","M0","M1","M1","M1","M2","M2","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+","M3+"
"S","S","S","M0","D","M1","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2","M2"
